2016-08-08 00.50.24,-24403,Batt:ok, Id:1f/1, Temp: 81.2, Hum:86
2016-08-08 00.50.38,-24402,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.50.41,-24401,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.50.57,-24399,Batt:ok, Id:f3/4, Temp: 88.2, Hum:48
2016-08-08 00.51.05,-24398,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.51.12,-24397,Batt:ok, Id:c0/8, Temp: 73.0, Hum:47
2016-08-08 00.51.17,-24395,Batt:ok, Id:1f/1, Temp: 81.2, Hum:86
2016-08-08 00.51.37,-24394,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.51.38,-24393,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.51.58,-24391,Batt:ok, Id:f3/4, Temp: 88.2, Hum:48
2016-08-08 00.52.10,-24390,Batt:ok, Id:1f/1, Temp: 81.2, Hum:86
2016-08-08 00.52.18,-24389,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.52.31,-24387,Batt:ok, Id:c0/8, Temp: 73.0, Hum:47
2016-08-08 00.52.35,-24386,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.52.36,-24385,Batt:lo, Id:40/3, Temp: 69.2, Hum:50
2016-08-08 00.52.59,-24384,Batt:ok, Id:f3/4, Temp: 88.2, Hum:48
2016-08-08 00.53.03,-24383,Batt:ok, Id:1f/1, Temp: 81.2, Hum:86
2016-08-08 00.53.31,-24380,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.53.32,-24379,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.53.35,-24378,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.53.50,-24377,Batt:ok, Id:c0/8, Temp: 73.0, Hum:47
2016-08-08 00.53.56,-24376,Batt:ok, Id:1f/1, Temp: 81.1, Hum:86
2016-08-08 00.54.00,-24375,Batt:ok, Id:f3/4, Temp: 88.1, Hum:48
2016-08-08 00.54.29,-24373,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.54.34,-24372,Batt:lo, Id:40/3, Temp: 69.2, Hum:51
2016-08-08 00.54.44,-24370,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.55.01,-24368,Batt:ok, Id:f3/4, Temp: 88.2, Hum:48
2016-08-08 00.55.09,-24367,Batt:ok, Id:c0/8, Temp: 73.0, Hum:47
2016-08-08 00.55.26,-24366,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.55.33,-24364,Batt:lo, Id:40/3, Temp: 69.2, Hum:51
2016-08-08 00.55.42,-24362,Batt:ok, Id:1f/1, Temp: 81.1, Hum:86
